"id","source","type","zmax"
"nhd_14726092","swimms","maxdepth",4.8768
"nhd_1816177","swimms","maxdepth",11.8872
"nhd_1813673","swimms","maxdepth",3.048
"nhd_12991293","swimms","maxdepth",3.6576
"nhd_13124292","swimms","maxdepth",13.1064
"nhd_13290844","swimms","maxdepth",14.0208
"nhd_1852579","swimms","maxdepth",4.8768
"nhd_1813713","swimms","maxdepth",2.4384
"nhd_NA","swimms","maxdepth",5.1816
"nhd_13345334","swimms","maxdepth",6.4008
"nhd_NA","swimms","maxdepth",3.3528
"nhd_NA","swimms","maxdepth",NA
"nhd_1813637","swimms","maxdepth",5.7912
"nhd_13397937","swimms","maxdepth",2.1336
"nhd_13290730","swimms","maxdepth",2.4384
"nhd_12174544","swimms","maxdepth",16.002
"nhd_NA","swimms","maxdepth",2.4384
"nhd_13409672","swimms","maxdepth",3.6576
"nhd_NA","swimms","maxdepth",NA
"nhd_6842927","swimms","maxdepth",13.716
"nhd_12161256","swimms","maxdepth",6.096
"nhd_NA","swimms","maxdepth",3.048
"nhd_1849629","swimms","maxdepth",5.1816
"nhd_1855355","swimms","maxdepth",4.572
"nhd_NA","swimms","maxdepth",4.2672
"nhd_NA","swimms","maxdepth",7.3152
"nhd_1816121","swimms","maxdepth",10.668
"nhd_14445870","swimms","maxdepth",5.1816
"nhd_NA","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",9.144
"nhd_1816159","swimms","maxdepth",13.716
"nhd_NA","swimms","maxdepth",2.4384
"nhd_13394053","swimms","maxdepth",3.6576
"nhd_13343084","swimms","maxdepth",5.1816
"nhd_2266165","swimms","maxdepth",12.192
"nhd_14768086","swimms","maxdepth",11.2776
"nhd_13393513","swimms","maxdepth",4.2672
"nhd_120052445","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",4.572
"nhd_13391729","swimms","maxdepth",5.1816
"nhd_13078679","swimms","maxdepth",20.1168
"nhd_11950315","swimms","maxdepth",7.0104
"nhd_2266291","swimms","maxdepth",12.4968
"nhd_2116038","swimms","maxdepth",1.524
"nhd_NA","swimms","maxdepth",3.048
"nhd_13343604","swimms","maxdepth",4.572
"nhd_NA","swimms","maxdepth",1.524
"nhd_NA","swimms","maxdepth",4.572
"nhd_14701826","swimms","maxdepth",2.4384
"nhd_6810694","swimms","maxdepth",2.4384
"nhd_9026421","swimms","maxdepth",5.4864
"nhd_2262753","swimms","maxdepth",13.716
"nhd_NA","swimms","maxdepth",1.2192
"nhd_NA","swimms","maxdepth",4.8768
"nhd_13400525","swimms","maxdepth",4.2672
"nhd_14732006","swimms","maxdepth",3.6576
"nhd_12161344","swimms","maxdepth",3.3528
"nhd_NA","swimms","maxdepth",6.7056
"nhd_6819388","swimms","maxdepth",2.7432
"nhd_13078681","swimms","maxdepth",13.1064
"nhd_6810874","swimms","maxdepth",8.2296
"nhd_13394815","swimms","maxdepth",1.8288
"nhd_6842365","swimms","maxdepth",3.3528
"nhd_14730256","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",0.6096
"nhd_NA","swimms","maxdepth",1.524
"nhd_NA","swimms","maxdepth",8.5344
"nhd_1798927","swimms","maxdepth",4.2672
"nhd_2647404","swimms","maxdepth",NA
"nhd_13393577","swimms","maxdepth",12.4968
"nhd_14701714","swimms","maxdepth",3.9624
"nhd_1850075","swimms","maxdepth",8.2296
"nhd_13391441","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",3.048
"nhd_13135105","swimms","maxdepth",1.8288
"nhd_1851975","swimms","maxdepth",5.1816
"nhd_NA","swimms","maxdepth",3.048
"nhd_120053130","swimms","maxdepth",4.2672
"nhd_13081101","swimms","maxdepth",2.4384
"nhd_12979591","swimms","maxdepth",2.1336
"nhd_1849497","swimms","maxdepth",7.3152
"nhd_13103993","swimms","maxdepth",14.3256
"nhd_2644088","swimms","maxdepth",5.7912
"nhd_13394347","swimms","maxdepth",22.86
"nhd_NA","swimms","maxdepth",1.2192
"nhd_9036119","swimms","maxdepth",14.0208
"nhd_13344050","swimms","maxdepth",26.5176
"nhd_13343568","swimms","maxdepth",10.3632
"nhd_NA","swimms","maxdepth",4.572
"nhd_12991537","swimms","maxdepth",7.0104
"nhd_13078415","swimms","maxdepth",22.7076
"nhd_2266639","swimms","maxdepth",2.7432
"nhd_13391463","swimms","maxdepth",8.5344
"nhd_13079049","swimms","maxdepth",16.4592
"nhd_14730156","swimms","maxdepth",14.0208
"nhd_14730156","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",13.716
"nhd_9032677","swimms","maxdepth",3.9624
"nhd_13393943","swimms","maxdepth",11.2776
"nhd_13343628","swimms","maxdepth",4.572
"nhd_NA","swimms","maxdepth",NA
"nhd_13343384","swimms","maxdepth",13.4112
"nhd_NA","swimms","maxdepth",5.1816
"nhd_6808372","swimms","maxdepth",7.62
"nhd_13343420","swimms","maxdepth",6.7056
"nhd_14707282","swimms","maxdepth",2.4384
"nhd_1801923","swimms","maxdepth",2.1336
"nhd_13343454","swimms","maxdepth",18.5928
"nhd_2644328","swimms","maxdepth",3.6576
"nhd_13105149","swimms","maxdepth",7.3152
"nhd_2644154","swimms","maxdepth",5.1816
"nhd_11949795","swimms","maxdepth",9.144
"nhd_13394529","swimms","maxdepth",8.2296
"nhd_9029907","swimms","maxdepth",0.9144
"nhd_9029605","swimms","maxdepth",11.5824
"nhd_NA","swimms","maxdepth",1.524
"nhd_NA","swimms","maxdepth",NA
"nhd_13062491","swimms","maxdepth",0.6096
"nhd_13083967","swimms","maxdepth",14.6304
"nhd_14767688","swimms","maxdepth",7.0104
"nhd_13344170","swimms","maxdepth",21.336
"nhd_12990815","swimms","maxdepth",6.7056
"nhd_NA","swimms","maxdepth",3.6576
"nhd_NA","swimms","maxdepth",NA
"nhd_13391565","swimms","maxdepth",12.192
"nhd_NA","swimms","maxdepth",22.2504
"nhd_14704120","swimms","maxdepth",6.096
"nhd_2644214","swimms","maxdepth",5.1816
"nhd_13393595","swimms","maxdepth",12.8016
"nhd_2266515","swimms","maxdepth",16.764
"nhd_167120869","swimms","maxdepth",17.0688
"nhd_2453852","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",1.2192
"nhd_NA","swimms","maxdepth",1.524
"nhd_13393943","swimms","maxdepth",17.3736
"nhd_2643810","swimms","maxdepth",11.8872
"nhd_NA","swimms","maxdepth",13.1064
"nhd_9026511","swimms","maxdepth",7.62
"nhd_12988315","swimms","maxdepth",7.62
"nhd_13351384","swimms","maxdepth",2.1336
"nhd_6808116","swimms","maxdepth",5.1816
"nhd_NA","swimms","maxdepth",9.4488
"nhd_NA","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",1.8288
"nhd_NA","swimms","maxdepth",NA
"nhd_2266007","swimms","maxdepth",3.9624
"nhd_NA","swimms","maxdepth",4.572
"nhd_13343260","swimms","maxdepth",13.716
"nhd_14726336","swimms","maxdepth",4.2672
"nhd_NA","swimms","maxdepth",11.5824
"nhd_NA","swimms","maxdepth",6.7056
"nhd_13078713","swimms","maxdepth",22.2504
"nhd_13394675","swimms","maxdepth",8.2296
