"id"	"source"	"type"	"zmax"
NA	"Jacobson"	"maxdepth"	16.1
NA	"Jacobson"	"maxdepth"	2.7
NA	"Jacobson"	"maxdepth"	9.1
NA	"Jacobson"	"maxdepth"	10.6
NA	"Jacobson"	"maxdepth"	7.6
NA	"Jacobson"	"maxdepth"	6.7
NA	"Jacobson"	"maxdepth"	7
NA	"Jacobson"	"maxdepth"	14.6
NA	"Jacobson"	"maxdepth"	7.3
NA	"Jacobson"	"maxdepth"	3
NA	"Jacobson"	"maxdepth"	17.9
NA	"Jacobson"	"maxdepth"	9.7
NA	"Jacobson"	"maxdepth"	19.8
"nhd_2384766"	"Jacobson"	"maxdepth"	14.9
"nhd_2385068"	"Jacobson"	"maxdepth"	17.3
"nhd_2384578"	"Jacobson"	"maxdepth"	8.8
NA	"Jacobson"	"maxdepth"	6
"nhd_1101942"	"Jacobson"	"maxdepth"	21.3
"nhd_1102056"	"Jacobson"	"maxdepth"	24.9
"nhd_1102046"	"Jacobson"	"maxdepth"	15.8
"nhd_2384614"	"Jacobson"	"maxdepth"	13.7
"nhd_2384688"	"Jacobson"	"maxdepth"	5.1
"nhd_1101928"	"Jacobson"	"maxdepth"	10.3
"nhd_1102008"	"Jacobson"	"maxdepth"	14.9
"nhd_2384776"	"Jacobson"	"maxdepth"	20.1
"nhd_2385040"	"Jacobson"	"maxdepth"	8.2
"nhd_2385060"	"Jacobson"	"maxdepth"	4.2
"nhd_1101938"	"Jacobson"	"maxdepth"	17.6
"nhd_1103970"	"Jacobson"	"maxdepth"	5.4
NA	"Jacobson"	"maxdepth"	25.6
"nhd_1102088"	"Jacobson"	"maxdepth"	11.2
"nhd_1102194"	"Jacobson"	"maxdepth"	16.4
"nhd_1102202"	"Jacobson"	"maxdepth"	10.3
"nhd_1102284"	"Jacobson"	"maxdepth"	12.4
"nhd_1102244"	"Jacobson"	"maxdepth"	11.2
"nhd_2384758"	"Jacobson"	"maxdepth"	10.9
"nhd_1102366"	"Jacobson"	"maxdepth"	12.1
