"id","source","type"
"nhd_4796460","bathybase","bathymetry"
"nhd_4796804","bathybase","bathymetry"
"nhd_7092807","bathybase","bathymetry"
"nhd_4796274","bathybase","bathymetry"
"nhd_4796876","bathybase","bathymetry"
"nhd_4796846","bathybase","bathymetry"
"nhd_4796816","bathybase","bathymetry"
"nhd_167201765","bathybase","bathymetry"
"nhd_2424487","bathybase","bathymetry"
"nhd_2425387","bathybase","bathymetry"
"nhd_6580646","bathybase","bathymetry"
"nhd_4856093","bathybase","bathymetry"
"nhd_4856075","bathybase","bathymetry"
"nhd_4856151","bathybase","bathymetry"
"nhd_4856151","bathybase","bathymetry"
"nhd_4856151","bathybase","bathymetry"
"nhd_4970199","bathybase","bathymetry"
"nhd_4855685","bathybase","bathymetry"
"nhd_4857623","bathybase","bathymetry"
"nhd_4856147","bathybase","bathymetry"
"nhd_4857683","bathybase","bathymetry"
"nhd_4857427","bathybase","bathymetry"
"nhd_4857807","bathybase","bathymetry"
"nhd_4616876","bathybase","bathymetry"
"nhd_4852063","bathybase","bathymetry"
"nhd_4616658","bathybase","bathymetry"
"nhd_4616696","bathybase","bathymetry"
"nhd_120053304","bathybase","bathymetry"
"nhd_4616624","bathybase","bathymetry"
"nhd_4616726","bathybase","bathymetry"
"nhd_4620406","bathybase","bathymetry"
"nhd_4620448","bathybase","bathymetry"
"nhd_4854979","bathybase","bathymetry"
"nhd_4621002","bathybase","bathymetry"
"nhd_4620718","bathybase","bathymetry"
"nhd_4620258","bathybase","bathymetry"
"nhd_4620258","bathybase","bathymetry"
"nhd_4620258","bathybase","bathymetry"
"nhd_4620258","bathybase","bathymetry"
"nhd_4620540","bathybase","bathymetry"
"nhd_4620600","bathybase","bathymetry"
"nhd_4620286","bathybase","bathymetry"
"nhd_4619984","bathybase","bathymetry"
"nhd_4619930","bathybase","bathymetry"
"nhd_4620090","bathybase","bathymetry"
"nhd_4620142","bathybase","bathymetry"
"nhd_4620142","bathybase","bathymetry"
"nhd_4620256","bathybase","bathymetry"
"nhd_167122174","bathybase","bathymetry"
"nhd_4620890","bathybase","bathymetry"
"nhd_4620258","bathybase","bathymetry"
"nhd_4620258","bathybase","bathymetry"
"nhd_4620258","bathybase","bathymetry"
"nhd_4620258","bathybase","bathymetry"
"nhd_4946219","bathybase","bathymetry"
"nhd_4620258","bathybase","bathymetry"
"nhd_4620258","bathybase","bathymetry"
