"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","id"
"USGS-423500088381000",42.583349,-88.6362134,NA
"USGS-423521088372600",42.5891823,-88.6239909,"nhd_13294928"
"USGS-423525088260400",42.5902778,-88.4344444,NA
"USGS-423526088380101",42.5905711,-88.6337134,"nhd_13294928"
"USGS-423532088384400",42.5922376,-88.6456581,NA
"USGS-423534088373700",42.5927378,-88.626991,"nhd_13294928"
"USGS-423556088365001",42.5989044,-88.6139907,"nhd_13294928"
"USGS-423642088355300",42.6115432,-88.598157,"nhd_13294928"
"USGS-423655088371001",42.615293,-88.6195465,"nhd_13294928"
"USGS-423659088354401",42.6164043,-88.595657,"nhd_13294928"
"USGS-423706088363400",42.6075155,-88.6053794,NA
"USGS-423737088344801",42.6269598,-88.5801011,"nhd_13294910"
"USGS-423755088341700",42.6319598,-88.5714898,"nhd_13294910"
"USGS-423851088332500",42.6475152,-88.557045,NA
"USGS-424207088072400",42.7019623,-88.1234199,"nhd_14767924"
"USGS-424415088435900",42.737484,-88.7332725,"nhd_13294814"
"USGS-424422087464400",42.7394642,-87.7789634,NA
"USGS-424501088422300",42.7502896,-88.706494,"nhd_13294786"
"USGS-424533088420100",42.7591783,-88.7003827,"nhd_13294786"
"USGS-424554088332700",42.7655687,-88.5570452,NA
"USGS-424555088335700",42.7652909,-88.5659344,"nhd_14767870"
"USGS-424608088414800",42.7689004,-88.6967714,NA
"USGS-424614088123600",42.7705721,-88.2100896,"nhd_14767802"
"USGS-424621088335500",42.7725129,-88.5653788,"nhd_14767870"
"USGS-424625088405500",42.7736226,-88.6820487,"nhd_13294786"
"USGS-424629088415700",42.7747335,-88.6992714,"nhd_13294782"
"USGS-424640088341900",42.7777905,-88.5720456,"nhd_14767870"
"USGS-424642088415501",42.7783446,-88.6987158,NA
"USGS-424652088341500",42.7811238,-88.5709345,"nhd_14767870"
"USGS-424721088334900",42.7891793,-88.563712,NA
"USGS-424727088332300",42.790846,-88.5564896,"nhd_14767864"
"USGS-424800088254800",42.8000139,-88.4300969,"nhd_14767842"
"USGS-424804088584800",42.8011467,-88.980083,NA
"USGS-424840088241600",42.811125,-88.4045405,"nhd_14767784"
"USGS-424848088083100",42.8133496,-88.1420325,"nhd_14767798"
"USGS-424854088123300",42.8150157,-88.2092567,"nhd_14767802"
"USGS-424857088101500",42.8158494,-88.1709223,"nhd_14767820"
"USGS-424905088204000",42.8180699,-88.3445386,"nhd_14767816"
"USGS-424915088083900",42.8208495,-88.1442549,"nhd_14767798"
"USGS-424929088231300",42.8247361,-88.38704,"nhd_14767784"
"USGS-424934088220400",42.8261111,-88.3677778,NA
"USGS-424937088103400",42.8269602,-88.1762003,"nhd_14767794"
"USGS-424938088080800",42.8272383,-88.1356436,"nhd_14767798"
"USGS-425044088100300",42.8455711,-88.1675892,"nhd_14767756"
"USGS-425103088261500",42.8508462,-88.4375972,"nhd_14767720"
"USGS-425109088075000",42.8525157,-88.1306438,"nhd_19285131"
"USGS-425212088072800",42.8700155,-88.1245327,"nhd_14767688"
"USGS-425228088055200",42.8744601,-88.0978654,"nhd_14767688"
"USGS-425235088075300",42.8764042,-88.1314774,"nhd_14767688"
"USGS-425235088075301",42.8764042,-88.1314774,"nhd_14767688"
"USGS-425235088075302",42.8764042,-88.1314774,"nhd_14767688"
"USGS-425235088075303",42.8764042,-88.1314774,"nhd_14767688"
"USGS-425235088075304",42.8764042,-88.1314774,"nhd_14767688"
"USGS-425235088075305",42.8764042,-88.1314774,"nhd_14767688"
"USGS-425235088075306",42.8764042,-88.1314774,"nhd_14767688"
"USGS-425235088075307",42.8764042,-88.1314774,"nhd_14767688"
"USGS-425235088075308",42.8764042,-88.1314774,"nhd_14767688"
"USGS-425301088061300",42.8836265,-88.103699,"nhd_14767688"
"USGS-425329088054000",42.8914043,-88.0945322,"nhd_14767688"
"USGS-425344088070100",42.8955706,-88.1170328,"nhd_14767684"
"USGS-425425088083500",42.9069591,-88.1431447,"nhd_14767666"
"USGS-425715089164700",42.9541667,-89.2797222,NA
"USGS-425722088295000",42.9561214,-88.4973212,"nhd_13294464"
"USGS-425750089143800",42.9638891,-89.2440055,"nhd_13296360"
"USGS-425942087525100",42.9950151,-87.8809167,NA
"USGS-430004087531010",43.0011261,-87.8861947,NA
"USGS-430030087511013",43.0083482,-87.8528606,NA
"USGS-430031087511000",43.008626,-87.8528606,NA
"USGS-430032087523509",43.0089036,-87.8764724,NA
"USGS-430052087531311",43.014459,-87.8870283,NA
"USGS-430052087531400",43.014459,-87.887306,NA
"USGS-430059089321401",43.0163859,-89.5373439,NA
"USGS-430100089320601",43.0166637,-89.5351217,NA
"USGS-430101087524208",43.0169589,-87.878417,NA
"USGS-430106089315901",43.0183303,-89.5331772,NA
"USGS-430110089442701",43.019441,-89.7409562,NA
"USGS-430113089320101",43.0202747,-89.5337327,NA
"USGS-430117089320701",43.0213858,-89.5353994,NA
"USGS-430117089442701",43.0213854,-89.7409562,NA
"USGS-430128087533602",43.0244586,-87.8934175,NA
"USGS-430130087534700",43.0250141,-87.8964731,NA
"USGS-430130087534701",43.0250141,-87.8964731,NA
"USGS-430134087525707",43.0261253,-87.8825839,NA
"USGS-430134087532803",43.0261252,-87.8911952,NA
"USGS-430134087532900",43.0261252,-87.891473,NA
"USGS-430138087514800",43.0272364,-87.8634167,NA
"USGS-430138087514814",43.0272364,-87.8634167,NA
"USGS-430140088584701",43.0277785,-88.9798317,"nhd_13291034"
"USGS-430212087525106",43.0366805,-87.8809173,NA
"USGS-430215087532304",43.0375137,-87.8898065,NA
"USGS-430216087532400",43.0377915,-87.8900842,NA
"USGS-430240087520300",43.044458,-87.8675837,NA
"USGS-430240087520312",43.044458,-87.8675837,NA
"USGS-430242087525205",43.0450135,-87.8811952,NA
"USGS-430250087531315",43.0472357,-87.8870287,NA
"USGS-430251088284700",43.0475,-88.4797222,NA
"USGS-430305089260600",43.0513854,-89.43512,NA
"USGS-430305089260601",43.0513854,-89.43512,NA
"USGS-430307089260200",43.051941,-89.4340088,NA
"USGS-430307089260201",43.051941,-89.4340088,NA
"USGS-430307089260400",43.051941,-89.4345644,NA
"USGS-430307089260501",43.051941,-89.4348422,NA
"USGS-430309088284800",43.0525,-88.48,"nhd_13290992"
"USGS-430309089260701",43.0524965,-89.4353977,NA
"USGS-430309089260702",43.0524965,-89.4353977,NA
"USGS-430309089260703",43.0524965,-89.4353977,NA
"USGS-430309089260704",43.0524965,-89.4353977,NA
"USGS-430321089360401",43.0558292,-89.601233,NA
"USGS-430325089361601",43.0569403,-89.6045664,"nhd_13424607"
"USGS-430329089244500",43.058052,-89.4126195,NA
