"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","Permnn_I","id"
"USGS-04045000",46.3719433,-85.5098377,NA,NA
"USGS-04045500",46.5750148,-85.2695548,NA,NA
"USGS-04045510",46.556409,-85.0386981,NA,NA
"USGS-04045520",46.4425195,-84.8203433,NA,NA
"USGS-04045528",46.3255744,-84.6769989,NA,NA
"USGS-04045538",46.3550199,-84.5925507,NA,NA
"USGS-04045559",46.4186325,-84.4733788,NA,NA
"USGS-04045570",46.4111319,-84.571717,NA,NA
"USGS-04045580",46.4914111,-84.4214323,NA,NA
"USGS-040455807",46.4641883,-84.371707,NA,NA
