"WBIC","site_id"
240900,"nhd_9032395"
310100,"nhd_9032337"
848800,"nhd_13290818"
195100,"nhd_9032833"
1409400,"nhd_167120891"
190100,"nhd_9035845"
12370,NA
19900,NA
806500,"nhd_13293258"
32500,"nhd_12161150"
8300,"nhd_12161270"
778700,"nhd_13290914"
643800,"nhd_6842801"
703000,"nhd_6842347"
2619400,"nhd_2646644"
1849100,"nhd_13081323"
1322400,"nhd_14705718"
2768900,"nhd_1797487"
2916200,"nhd_1813673"
2904300,"nhd_1816149"
2308000,"nhd_13343108"
1886000,"nhd_12988303"
1606600,"nhd_6842323"
2480800,"nhd_2266269"
706100,"nhd_14445892"
2256800,"nhd_12990929"
585100,"nhd_6842371"
2254800,"nhd_12991283"
2382700,"nhd_13119476"
651600,"nhd_6842437"
1378100,NA
1301300,"nhd_14708556"
825000,"nhd_13294422"
810700,"nhd_13293298"
8600,NA
15500,"nhd_12164188"
2206300,"nhd_12980461"
1322400,NA
246900,"nhd_9036257"
117600,"nhd_6866313"
1278700,"nhd_13652172"
835100,"nhd_120053596"
779800,"nhd_13290942"
390,NA
826400,"nhd_13291066"
1722000,"nhd_13135123"
2866200,"nhd_1801939"
2767200,"nhd_1797395"
2838000,"nhd_1799783"
2769200,"nhd_1801875"
2744300,"nhd_2260937"
2832300,"nhd_1816247"
1545600,"nhd_13393577"
675100,"nhd_6842289"
2433900,"nhd_13120880"
2484200,"nhd_1852679"
998400,"nhd_13393555"
2260900,"nhd_12990963"
2495100,"nhd_2266151"
2451300,"nhd_13080293"
2268600,"nhd_12991001"
2394700,"nhd_13121134"
1603700,"nhd_13393753"
1873100,"nhd_13349570"
655300,"nhd_6842393"
1009100,"nhd_13395117"
1580100,"nhd_13394777"
1522400,"nhd_13395019"
617900,"nhd_6842959"
1519600,"nhd_13395257"
2104100,"nhd_13079151"
2630800,"nhd_2644234"
627200,"nhd_120052172"
515000,"nhd_120052159"
2600400,"nhd_2646570"
350200,NA
424200,"nhd_6808634"
100000,"nhd_13062951"
273200,"nhd_9035869"
264700,"nhd_9035987"
1782700,"nhd_2731800"
1598900,"nhd_13394253"
2533300,NA
1610600,"nhd_13393943"
1534800,"nhd_13394239"
93300,"nhd_13062485"
1558200,"nhd_13399227"
197700,"nhd_9026425"
388100,"nhd_9026435"
1514700,"nhd_12980555"
498800,"nhd_6819534"
519700,"nhd_6819976"
504300,"nhd_6819954"
2056600,"nhd_13107527"
276500,NA
263900,"nhd_9035999"
264100,"nhd_9036005"
835100,"nhd_120053596"
2956800,"nhd_6792377"
630400,NA
117100,"nhd_6866705"
2451100,"nhd_2266423"
466400,"nhd_6808160"
2420100,"nhd_13118694"
1304600,NA
1345700,"nhd_120052589"
1296000,"nhd_14708610"
1000700,"nhd_14708628"
793600,"nhd_13294910"
739400,"nhd_14767994"
77500,"nhd_12174540"
1000700,"nhd_14708626"
2491400,"nhd_2260809"
2754800,NA
2922700,"nhd_1813697"
2896600,"nhd_1816535"
2928400,"nhd_1813649"
2497100,"nhd_2260993"
2935300,"nhd_1813733"
2741700,"nhd_2260991"
2299200,"nhd_13345392"
2302400,"nhd_13345384"
2469000,"nhd_1849719"
2918200,"nhd_1813827"
2456600,NA
