"dowlknum","site_id"
"81004400","nhd_10596428"
"81002100",NA
"22004800",NA
"81000600",NA
"81000200",NA
"81005100",NA
"81008100",NA
"07004300","nhd_10595708"
"81012300",NA
"07001300","nhd_10596478"
"22002000",NA
"81010600",NA
"22004500",NA
"24003600",NA
"22001500","nhd_2747642"
"22002700",NA
"81001300","nhd_2032341"
"81003600",NA
"22001000",NA
"74002300","nhd_2034063"
"24002400","nhd_6558631"
"07001700",NA
"74002600",NA
"07006700",NA
"24000800",NA
"74003500",NA
"24003200","nhd_6558677"
"24004900",NA
"22001100",NA
"24008002",NA
"24005900",NA
"24002600",NA
"07005700","nhd_10596464"
"24004100","nhd_10596556"
"74006900",NA
"22003600",NA
"81008500",NA
"81003000",NA
"74003000",NA
"07001800",NA
"07000700",NA
"81007400",NA
"07002900",NA
"74001900","nhd_2032381"
"81003400",NA
"81000100",NA
"07013800",NA
"81004100",NA
"22004400",NA
"81001000",NA
"07002700",NA
"07005800","nhd_10596422"
"74002200","nhd_2034059"
"81007900",NA
"81006400",NA
"07006300",NA
"81000400",NA
"74003700",NA
"07002300",NA
"24002100",NA
"22003100","nhd_10596532"
"81003700",NA
"74002500",NA
"74005300","nhd_2032305"
"24005200","nhd_6558749"
"24003500",NA
"81010700",NA
"24002900",NA
"81001900",NA
"74007300",NA
"81004600",NA
"07000500","nhd_10596500"
"07006500",NA
"74003300",NA
"22003200",NA
"07002400",NA
"81001100",NA
"81004800",NA
"07001400","nhd_10596494"
"24008100","nhd_6558645"
"24008300",NA
"74007500",NA
"22004900",NA
"81004200",NA
"74003200",NA
"07006400",NA
"81006100",NA
"81012100",NA
"22004200",NA
"81011800",NA
"07001500",NA
"81007000","nhd_10596468"
"22003300","nhd_10596502"
"22004300",NA
"07003000",NA
"22002100",NA
"22003800",NA
"81007500",NA
"24004500",NA
"07001200",NA
"22001800",NA
"22000600","nhd_2747670"
"81000900",NA
"07000100",NA
"22002200","nhd_2747606"
"24001802","nhd_6558627"
"81006900",NA
"22002600","nhd_10596550"
"24008200",NA
"22002900",NA
"81000800",NA
"22003500",NA
"74003600","nhd_2032317"
"22005500",NA
"81007800",NA
"24005600","nhd_6558665"
"74007000",NA
"24002300",NA
"24001400","nhd_6558643"
"22000400",NA
"24007300",NA
"07004200",NA
"81000700",NA
"74007700",NA
"22001300",NA
"24003100","nhd_10596624"
"07001600",NA
"22000200",NA
"24002000",NA
"24004300","nhd_2747608"
"81004000",NA
"81011900",NA
"24008003",NA
"81003900",NA
"07006900",NA
"81001500","nhd_2032357"
"81004900",NA
"24004800","nhd_10596538"
"22001700",NA
"81005000",NA
"81007700",NA
"74007100",NA
"74002100",NA
"24006800","nhd_6558659"
"07001000",NA
"74003100",NA
"07001100",NA
"81007100",NA
"24001803","nhd_6558619"
"07000900",NA
"24002500","nhd_6558661"
"74002700",NA
"22003700",NA
"24004200",NA
"74002400","nhd_2034061"
"07001900","nhd_10596420"
"81002200","nhd_2032331"
"24004600",NA
"24007600",NA
"22005300",NA
"07000600",NA
"24001900","nhd_120050475"
"81006300",NA
"81006800",NA
"22001900","nhd_2747680"
"74007200",NA
"24002200",NA
"22002800",NA
"24001600",NA
"81008200",NA
"22002300","nhd_2747598"
"24002800","nhd_6565261"
"74002800",NA
"55000800","nhd_2443402"
"74000100","nhd_2442978"
"55002400",NA
"55000100","nhd_2463493"
"74004000","nhd_2034027"
"24000700",NA
"55002401",NA
"20002300",NA
"24000400",NA
"74000500",NA
"50001400",NA
"24008400",NA
"55002403",NA
"24000500",NA
"20000700",NA
"74000400","nhd_2034041"
"50002100",NA
"24007501",NA
"24000200",NA
"20000300",NA
"55005700",NA
"24000300",NA
