"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","id"
"USGS-414642085494201",41.7783829,-85.8283293,12259048
"USGS-414642085494202",41.7783829,-85.8283293,12259048
"USGS-414642085494203",41.7783829,-85.8283293,12259048
"USGS-414642085494205",41.7783829,-85.8283293,12259048
"USGS-414642085494206",41.7783829,-85.8283293,12259048
"USGS-414737085095201",41.7936111,-85.1644444,12258976
"USGS-414737085095202",41.7936111,-85.1644444,12258976
"USGS-414737085095203",41.7936111,-85.1644444,12258976
"USGS-414737085095205",41.7936111,-85.1644444,12258976
"USGS-414737085095206",41.7936111,-85.1644444,12258976
"USGS-414749085094501",41.7969444,-85.1625,12258976
"USGS-414749085094502",41.7969444,-85.1625,12258976
"USGS-414749085094503",41.7969444,-85.1625,12258976
"USGS-414749085094505",41.7969444,-85.1625,12258976
"USGS-414749085094506",41.7969444,-85.1625,12258976
"USGS-414804086004801",41.8011594,-86.0133372,12263666
"USGS-414810085323801",41.8028281,-85.543875,12258952
"USGS-414810085323802",41.8028281,-85.543875,12258952
"USGS-414810085323803",41.8028281,-85.543875,12258952
"USGS-414810085323805",41.8028281,-85.543875,12258952
"USGS-414810085323806",41.8028281,-85.543875,12258952
"USGS-414819085595001",41.8053261,-85.9972258,167552424
"USGS-414819085595002",41.8053261,-85.9972258,167552424
"USGS-414819085595003",41.8053261,-85.9972258,167552424
"USGS-414819085595005",41.8053261,-85.9972258,167552424
"USGS-414819085595006",41.8053261,-85.9972258,167552424
"USGS-414827084580301",41.8075496,-84.9674635,12257446
"USGS-414827084580302",41.8075496,-84.9674635,12257446
"USGS-414827084580303",41.8075496,-84.9674635,12257446
"USGS-414827084580305",41.8075496,-84.9674635,12257446
"USGS-414827084580306",41.8075496,-84.9674635,12257446
"USGS-414840085591801",41.8111594,-85.9883367,167552424
"USGS-414840085591802",41.8111594,-85.9883367,167552424
"USGS-414840085591803",41.8111594,-85.9883367,167552424
"USGS-414840085591805",41.8111594,-85.9883367,167552424
"USGS-414840085591806",41.8111594,-85.9883367,167552424
"USGS-414902084380701",41.8172222,-84.6352778,15676261
"USGS-414902084380702",41.8172222,-84.6352778,15676261
"USGS-414902084380703",41.8172222,-84.6352778,15676261
"USGS-414902084380705",41.8172222,-84.6352778,15676261
"USGS-414902084380706",41.8172222,-84.6352778,15676261
"USGS-414936085293201",41.8266667,-85.4922222,12258928
"USGS-414936085293202",41.8266667,-85.4922222,12258928
"USGS-414936085293203",41.8266667,-85.4922222,12258928
"USGS-414936085293205",41.8266667,-85.4922222,12258928
"USGS-414936085293206",41.8266667,-85.4922222,12258928
"USGS-414939084583300",41.8275494,-84.9757974,12257446
"USGS-414940084312801",41.8278265,-84.5243937,15676241
"USGS-414940084312802",41.8278265,-84.5243937,15676241
"USGS-414940084312803",41.8278265,-84.5243937,15676241
"USGS-414940084312805",41.8278265,-84.5243937,15676241
"USGS-414940084312806",41.8278265,-84.5243937,15676241
"USGS-414941084162401",41.8281041,-84.2732797,13229786
"USGS-414941084162402",41.8281041,-84.2732797,13229786
"USGS-414941084162403",41.8281041,-84.2732797,13229786
"USGS-414941084162405",41.8281041,-84.2732797,13229786
"USGS-414941084162406",41.8281041,-84.2732797,13229786
"USGS-414946084583101",41.8294939,-84.9752418,12257446
"USGS-414946084583102",41.8294939,-84.9752418,12257446
"USGS-414946084583103",41.8294939,-84.9752418,12257446
"USGS-414946084583105",41.8294939,-84.9752418,12257446
"USGS-414946084583106",41.8294939,-84.9752418,12257446
"USGS-415002084152701",41.8339373,-84.2574462,13229786
"USGS-415002084152702",41.8339373,-84.2574462,13229786
"USGS-415002084152703",41.8339373,-84.2574462,13229786
"USGS-415002084152705",41.8339373,-84.2574462,13229786
"USGS-415002084152706",41.8339373,-84.2574462,13229786
"USGS-415027085252901",41.8408834,-85.424705,12258916
"USGS-415027085252902",41.8408834,-85.424705,12258916
"USGS-415027085252903",41.8408834,-85.424705,12258916
"USGS-415027085252905",41.8408834,-85.424705,12258916
"USGS-415027085252906",41.8408834,-85.424705,12258916
"USGS-415039085521001",41.8442148,-85.8694438,12258902
"USGS-415039085521002",41.8442148,-85.8694438,12258902
"USGS-415039085521003",41.8442148,-85.8694438,12258902
"USGS-415039085521005",41.8442148,-85.8694438,12258902
"USGS-415039085521006",41.8442148,-85.8694438,12258902
"USGS-415041085514501",41.8447704,-85.862499,12258902
"USGS-415041085514502",41.8447704,-85.862499,12258902
"USGS-415041085514503",41.8447704,-85.862499,12258902
"USGS-415041085514505",41.8447704,-85.862499,12258902
"USGS-415041085514506",41.8447704,-85.862499,12258902
"USGS-415102085023201",41.8506049,-85.042189,12258870
"USGS-415102085023202",41.8506049,-85.042189,12258870
"USGS-415102085023203",41.8506049,-85.042189,12258870
"USGS-415102085023205",41.8506049,-85.042189,12258870
"USGS-415102085023206",41.8506049,-85.042189,12258870
"USGS-415112084575001",41.8533825,-84.9638529,12257406
"USGS-415112084575002",41.8533825,-84.9638529,12257406
"USGS-415112084575003",41.8533825,-84.9638529,12257406
"USGS-415112084575005",41.8533825,-84.9638529,12257406
"USGS-415112084575006",41.8533825,-84.9638529,12257406
"USGS-415117085015701",41.8547715,-85.0324665,12258870
"USGS-415117085015702",41.8547715,-85.0324665,12258870
"USGS-415117085015703",41.8547715,-85.0324665,12258870
"USGS-415117085015705",41.8547715,-85.0324665,12258870
"USGS-415117085015706",41.8547715,-85.0324665,12258870
"USGS-415118085022001",41.8550493,-85.0388556,12258870
"USGS-415118085022002",41.8550493,-85.0388556,12258870
"USGS-415118085022003",41.8550493,-85.0388556,12258870
"USGS-415118085022005",41.8550493,-85.0388556,12258870
"USGS-415118085022006",41.8550493,-85.0388556,12258870
"USGS-415136084473901",41.8600483,-84.7941263,12257360
"USGS-415136084473902",41.8600483,-84.7941263,12257360
"USGS-415136084473903",41.8600483,-84.7941263,12257360
"USGS-415136084473905",41.8600483,-84.7941263,12257360
"USGS-415136084473906",41.8600483,-84.7941263,12257360
"USGS-415138085235301",41.8606054,-85.3980379,12258868
"USGS-415138085235302",41.8606054,-85.3980379,12258868
"USGS-415138085235303",41.8606054,-85.3980379,12258868
"USGS-415138085235305",41.8606054,-85.3980379,12258868
"USGS-415138085235306",41.8606054,-85.3980379,12258868
"USGS-415211084405801",41.8697702,-84.6827337,15676223
"USGS-415211084405802",41.8697702,-84.6827337,15676223
"USGS-415211084405803",41.8697702,-84.6827337,15676223
"USGS-415211084405805",41.8697702,-84.6827337,15676223
"USGS-415211084405806",41.8697702,-84.6827337,15676223
"USGS-415235085284501",41.8764389,-85.4791527,12258824
"USGS-415235085284502",41.8764389,-85.4791527,12258824
"USGS-415235085284503",41.8764389,-85.4791527,12258824
"USGS-415235085284505",41.8764389,-85.4791527,12258824
"USGS-415235085284506",41.8764389,-85.4791527,12258824
"USGS-415253085513001",41.8814364,-85.8583331,12258826
"USGS-415253085513002",41.8814364,-85.8583331,12258826
"USGS-415253085513003",41.8814364,-85.8583331,12258826
"USGS-415253085513005",41.8814364,-85.8583331,12258826
"USGS-415253085513006",41.8814364,-85.8583331,12258826
"USGS-415302084551801",41.8839375,-84.92163,12257350
"USGS-415302084551802",41.8839375,-84.92163,12257350
"USGS-415302084551803",41.8839375,-84.92163,12257350
"USGS-415302084551805",41.8839375,-84.92163,12257350
"USGS-415302084551806",41.8839375,-84.92163,12257350
"USGS-415325085543401",41.890325,-85.9094466,12258812
"USGS-415325085543402",41.890325,-85.9094466,12258812
"USGS-415325085543403",41.890325,-85.9094466,12258812
"USGS-415325085543405",41.890325,-85.9094466,12258812
"USGS-415325085543406",41.890325,-85.9094466,12258812
"USGS-415347084473301",41.8963889,-84.7925,12257326
"USGS-415347084473302",41.8963889,-84.7925,12257326
"USGS-415347084473303",41.8963889,-84.7925,12257326
"USGS-415347084473305",41.8963889,-84.7925,12257326
"USGS-415347084473306",41.8963889,-84.7925,12257326
"USGS-415348084460801",41.8967144,-84.7688488,12257328
"USGS-415348084460802",41.8967144,-84.7688488,12257328
"USGS-415348084460803",41.8967144,-84.7688488,12257328
"USGS-415348084460805",41.8967144,-84.7688488,12257328
"USGS-415348084460806",41.8967144,-84.7688488,12257328
"USGS-415354084542401",41.8983817,-84.9066299,12257268
"USGS-415354084542402",41.8983817,-84.9066299,12257268
"USGS-415354084542403",41.8983817,-84.9066299,12257268
"USGS-415354084542405",41.8983817,-84.9066299,12257268
"USGS-415354084542406",41.8983817,-84.9066299,12257268
"USGS-415357084363201",41.8992142,-84.6088421,12257312
"USGS-415357084363202",41.8992142,-84.6088421,12257312
"USGS-415357084363203",41.8992142,-84.6088421,12257312
"USGS-415357084363205",41.8992142,-84.6088421,12257312
"USGS-415357084363206",41.8992142,-84.6088421,12257312
"USGS-415405085590901",41.9014358,-85.9858391,12258766
"USGS-415405085590902",41.9014358,-85.9858391,12258766
"USGS-415405085590903",41.9014358,-85.9858391,12258766
"USGS-415405085590905",41.9014358,-85.9858391,12258766
"USGS-415405085590906",41.9014358,-85.9858391,12258766
"USGS-415407085062901",41.9019934,-85.1080261,12258758
"USGS-415407085062902",41.9019934,-85.1080261,12258758
"USGS-415407085062903",41.9019934,-85.1080261,12258758
"USGS-415407085062905",41.9019934,-85.1080261,12258758
"USGS-415407085062906",41.9019934,-85.1080261,12258758
"USGS-415411085580301",41.9031024,-85.967505,12258766
"USGS-415411085580302",41.9031024,-85.967505,12258766
"USGS-415411085580303",41.9031024,-85.967505,12258766
"USGS-415411085580305",41.9031024,-85.967505,12258766
"USGS-415411085580306",41.9031024,-85.967505,12258766
"USGS-415412086010101",41.9033801,-86.0169513,12263532
"USGS-415412086010102",41.9033801,-86.0169513,12263532
"USGS-415412086010103",41.9033801,-86.0169513,12263532
"USGS-415412086010105",41.9033801,-86.0169513,12263532
"USGS-415412086010106",41.9033801,-86.0169513,12263532
"USGS-415417084365601",41.9047697,-84.6155092,12257312
"USGS-415425085480001",41.9069916,-85.799998,12258768
"USGS-415425085480002",41.9069916,-85.799998,12258768
"USGS-415425085480003",41.9069916,-85.799998,12258768
"USGS-415425085480005",41.9069916,-85.799998,12258768
"USGS-415425085480006",41.9069916,-85.799998,12258768
"USGS-415431085532201",41.9086581,-85.8894463,12258770
"USGS-415431085532202",41.9086581,-85.8894463,12258770
"USGS-415431085532203",41.9086581,-85.8894463,12258770
"USGS-415431085532205",41.9086581,-85.8894463,12258770
"USGS-415431085532206",41.9086581,-85.8894463,12258770
"USGS-415454085271601",41.9150496,-85.4544306,12258736
"USGS-415454085271602",41.9150496,-85.4544306,12258736
"USGS-415454085271603",41.9150496,-85.4544306,12258736
"USGS-415454085271605",41.9150496,-85.4544306,12258736
"USGS-415454085271606",41.9150496,-85.4544306,12258736
"USGS-415507085201901",41.9186111,-85.3386111,15677567
"USGS-415507085201902",41.9186111,-85.3386111,15677567
"USGS-415507085201903",41.9186111,-85.3386111,15677567
"USGS-415507085201905",41.9186111,-85.3386111,15677567
"USGS-415507085201906",41.9186111,-85.3386111,15677567
"USGS-415532084535301",41.9256036,-84.8980191,12257268
"USGS-415532084535302",41.9256036,-84.8980191,12257268
"USGS-415532084535303",41.9256036,-84.8980191,12257268
"USGS-415532084535305",41.9256036,-84.8980191,12257268
"USGS-415532084535306",41.9256036,-84.8980191,12257268
"USGS-415544085461301",41.9289356,-85.770275,12258704
"USGS-415544085461302",41.9289356,-85.770275,12258704
"USGS-415544085461303",41.9289356,-85.770275,12258704
"USGS-415544085461305",41.9289356,-85.770275,12258704
"USGS-415544085461306",41.9289356,-85.770275,12258704
"USGS-415544085523801",41.9289355,-85.877224,12258712
"USGS-415544085523802",41.9289355,-85.877224,12258712
"USGS-415544085523803",41.9289355,-85.877224,12258712
"USGS-415544085523805",41.9289355,-85.877224,12258712
"USGS-415544085523806",41.9289355,-85.877224,12258712
"USGS-415545085440001",41.9292136,-85.7333291,12258664
"USGS-415545085440002",41.9292136,-85.7333291,12258664
"USGS-415545085440003",41.9292136,-85.7333291,12258664
"USGS-415545085440005",41.9292136,-85.7333291,12258664
"USGS-415545085440006",41.9292136,-85.7333291,12258664
"USGS-415549085122501",41.9303267,-85.2069202,12258658
"USGS-415549085122502",41.9303267,-85.2069202,12258658
"USGS-415549085122503",41.9303267,-85.2069202,12258658
"USGS-415549085122505",41.9303267,-85.2069202,12258658
"USGS-415549085122506",41.9303267,-85.2069202,12258658
"USGS-415550085452201",41.9306023,-85.7561077,12258664
"USGS-415550085452202",41.9306023,-85.7561077,12258664
"USGS-415550085452203",41.9306023,-85.7561077,12258664
"USGS-415550085452205",41.9306023,-85.7561077,12258664
"USGS-415550085452206",41.9306023,-85.7561077,12258664
"USGS-415616085020601",41.9378263,-85.0349676,12258642
"USGS-415616085020602",41.9378263,-85.0349676,12258642
"USGS-415616085020603",41.9378263,-85.0349676,12258642
"USGS-415616085020605",41.9378263,-85.0349676,12258642
"USGS-415616085020606",41.9378263,-85.0349676,12258642
"USGS-415622085532001",41.9394908,-85.8777799,12258682
"USGS-415622085532002",41.9394908,-85.8777799,12258682
"USGS-415622085532003",41.9394908,-85.8777799,12258682
"USGS-415622085532005",41.9394908,-85.8777799,12258682
"USGS-415622085532006",41.9394908,-85.8777799,12258682
"USGS-415638085185701",41.943938,-85.3158143,15677567
